(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (1640 verts): 
		pedalCilCopy (14 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		pedalCopy (40 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		fuelTankTpa_Copy (53 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		chainTraccWheel_low (112 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		chairBendP_low (190 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		BckwheelConnect_low (64 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		whebOxCopy (52 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		wheeSmBCopy (66 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		chaMidSupp_low (132 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		radSupp_Copy (17 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		chaSuppFt_copy (144 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		chaSuppFt_low (144 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		ftSupTubes_low (48 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		sideBox_copy (196 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		floorSuppB_low (232 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		fuelTankBig_low001 (136 verts)	-1	False	False	True	1	[SpeedPunk (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
	Standard (4780 verts): 
		chainTracc_low (125 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		chairBendMidDiv_low (63 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		NitrousTank_low (562 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		frontPBttn_low (148 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		cableMb02_low (63 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		frontDownBxt_low (103 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		frontMidPMid_low (133 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		backDefenC_low (78 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		cableMb01_low (70 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		fuelTankTpa_low (53 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		frontPTop_low (158 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		MotorBott_low (209 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		MotorBottSideP_low (37 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		fuelTankBig_low (136 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		NitScapTopP_low (108 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		MotorTop_low (174 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		NitWheelCool_low (232 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		pedalBx_low (40 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		charSupTopP_low (430 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		TyreSmallFFdBx_low (66 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		TyreSmallHoldBx_low (52 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		wheelTub_low (14 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		wheelCilExt_low (286 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		SideBoxFrame_low (20 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		radiatorBdtapa_low (134 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		sideBox_low (216 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		radiatorBd_low (122 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		radSupp_low (17 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		pedalBxTbe_low (14 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		smokScape02_low (55 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		chairBendTopP_low (141 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		charSupbot_low (108 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		tubSmkMot_low (207 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		smkeTankConct_low (115 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		wheelInBxt_low (96 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		smokScape01_low (55 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
		smkeTank_low (140 verts)	-1	False	False	False	1	[SpeedPunk (UnityEngine.Material)] 	
